Radiopaedia embedding 50 dimensions
['#Benign_malignant']
['benign', 'malignant', 'fibroma', 'fibrosarcoma']   ('ossifying', 0.8148632689545494)
['fibroma', 'fibrosarcoma', 'lymphangioma', 'lymphangiosarcoma']   ('sclerosed', 0.534214836210769)
['fibroma', 'fibrosarcoma', 'leiomyoma', 'leiomyosarcoma']   ('leiomyosarcoma', 0.7218215760060983)
['fibroma', 'fibrosarcoma', 'rhabdomyoma', 'rhabdomyosarcoma']   ('athlete', 0.5904744437886917)
['fibroma', 'fibrosarcoma', 'rhabdomyoma', 'rhabdomyosarcoma']   ('abductors', 0.5764957647262718)
['fibroma', 'fibrosarcoma', 'rhabdomyoma', 'rhabdomyosarcoma']   ('protoporphyria', 0.5747302923302685)
['fibroma', 'fibrosarcoma', 'adenoma', 'adenocarcinoma']   ('pleomorphic', 0.6459219453162801)
['fibroma', 'fibrosarcoma', 'adenoma', 'adenocarcinoma']   ('adrenal', 0.5862841550207996)
['fibroma', 'fibrosarcoma', 'adenoma', 'adenocarcinoma']   ('parathyroid', 0.5832556448042543)
['myxoma', 'myxosarcoma', 'lipoma', 'liposarcoma'] Error - skipping
['myxoma', 'myxosarcoma', 'chondroma', 'chondrosarcoma'] Error - skipping
['myxoma', 'myxosarcoma', 'osteoma', 'osteosarcoma'] Error - skipping
['myxoma', 'myxosarcoma', 'lymphangioma', 'lymphangiosarcoma'] Error - skipping
['myxoma', 'myxosarcoma', 'leiomyoma', 'leiomyosarcoma'] Error - skipping
['myxoma', 'myxosarcoma', 'rhabdomyoma', 'rhabdomyosarcoma'] Error - skipping
['myxoma', 'myxosarcoma', 'adenoma', 'adenocarcinoma'] Error - skipping
['lipoma', 'liposarcoma', 'chondroma', 'chondrosarcoma']   ('homograft', 0.6906850558669242)
['lipoma', 'liposarcoma', 'chondroma', 'chondrosarcoma']   ('rosettes', 0.6553122369144334)
['lipoma', 'liposarcoma', 'chondroma', 'chondrosarcoma']   ('slo', 0.6550511164610235)
['lipoma', 'liposarcoma', 'osteoma', 'osteosarcoma']   ('osteoblastoma', 0.808830647087603)
['lipoma', 'liposarcoma', 'osteoma', 'osteosarcoma']   ('osteoid', 0.7993899303468075)
['lipoma', 'liposarcoma', 'osteoma', 'osteosarcoma']   ('jugulare', 0.6976685267248598)
['lipoma', 'liposarcoma', 'lymphangioma', 'lymphangiosarcoma']   ('cochleovestibular', 0.7102793864137804)
['lipoma', 'liposarcoma', 'lymphangioma', 'lymphangiosarcoma']   ('hygroma', 0.6823238977920396)
['lipoma', 'liposarcoma', 'lymphangioma', 'lymphangiosarcoma']   ('glomeruloid', 0.6505478563422495)
['lipoma', 'liposarcoma', 'leiomyoma', 'leiomyosarcoma']   ('leiomyomas', 0.7524754106624278)
['lipoma', 'liposarcoma', 'leiomyoma', 'leiomyosarcoma']   ('subserosal', 0.6824760360078916)
['lipoma', 'liposarcoma', 'leiomyoma', 'leiomyosarcoma']   ('uterine', 0.6740990334307864)
['lipoma', 'liposarcoma', 'rhabdomyoma', 'rhabdomyosarcoma']   ('phasicity', 0.7035642407036504)
['lipoma', 'liposarcoma', 'rhabdomyoma', 'rhabdomyosarcoma']   ('defibrillator', 0.6734310151402766)
['lipoma', 'liposarcoma', 'rhabdomyoma', 'rhabdomyosarcoma']   ('urologic', 0.6600558383320303)
['lipoma', 'liposarcoma', 'adenoma', 'adenocarcinoma']   ('pleomorphic', 0.7524841873469147)
['lipoma', 'liposarcoma', 'adenoma', 'adenocarcinoma']   ('adenomas', 0.7320482677949988)
['lipoma', 'liposarcoma', 'adenoma', 'adenocarcinoma']   ('lactating', 0.7231995331674492)
['chondroma', 'chondrosarcoma', 'osteoma', 'osteosarcoma']   ('osteosarcoma', 0.6309504757618112)
['chondroma', 'chondrosarcoma', 'lymphangioma', 'lymphangiosarcoma']   ('cystic', 0.6312046762260456)
['chondroma', 'chondrosarcoma', 'lymphangioma', 'lymphangiosarcoma']   ('findingsintestinal', 0.5743879305521201)
['chondroma', 'chondrosarcoma', 'lymphangioma', 'lymphangiosarcoma']   ('hemangioma', 0.5712701798142401)
['chondroma', 'chondrosarcoma', 'leiomyoma', 'leiomyosarcoma']   ('leiomyomas', 0.7638685915835178)
['chondroma', 'chondrosarcoma', 'leiomyoma', 'leiomyosarcoma']   ('uterine', 0.7011973046596114)
['chondroma', 'chondrosarcoma', 'leiomyoma', 'leiomyosarcoma']   ('adenomyosis', 0.6728253396079525)
['chondroma', 'chondrosarcoma', 'rhabdomyoma', 'rhabdomyosarcoma']   ('pediatric', 0.573188621413336)
['chondroma', 'chondrosarcoma', 'rhabdomyoma', 'rhabdomyosarcoma']   ('neuroblastoma', 0.561064312054956)
['chondroma', 'chondrosarcoma', 'rhabdomyoma', 'rhabdomyosarcoma']   ('rickets', 0.543801152819673)
['chondroma', 'chondrosarcoma', 'adenoma', 'adenocarcinoma']   ('hepatocellular', 0.7038031399662826)
['chondroma', 'chondrosarcoma', 'adenoma', 'adenocarcinoma']   ('carcinoma', 0.7011171541646982)
['chondroma', 'chondrosarcoma', 'adenoma', 'adenocarcinoma']   ('hcc', 0.7004517065954728)
['osteoma', 'osteosarcoma', 'lymphangioma', 'lymphangiosarcoma']   ('zsigmondy', 0.657433988061729)
['osteoma', 'osteosarcoma', 'lymphangioma', 'lymphangiosarcoma']   ('leptospirosis', 0.5783991694852058)
['osteoma', 'osteosarcoma', 'lymphangioma', 'lymphangiosarcoma']   ('hemangioma', 0.5162976677373362)
['osteoma', 'osteosarcoma', 'leiomyoma', 'leiomyosarcoma']   ('adenomyosis', 0.7020531193876125)
['osteoma', 'osteosarcoma', 'leiomyoma', 'leiomyosarcoma']   ('uterine', 0.6959402412330642)
['osteoma', 'osteosarcoma', 'leiomyoma', 'leiomyosarcoma']   ('leiomyomas', 0.6461441988263495)
['osteoma', 'osteosarcoma', 'rhabdomyoma', 'rhabdomyosarcoma']   ('cardiovascular', 0.6489371087952571)
['osteoma', 'osteosarcoma', 'rhabdomyoma', 'rhabdomyosarcoma']   ('myocyte', 0.5827177651347282)
['osteoma', 'osteosarcoma', 'rhabdomyoma', 'rhabdomyosarcoma']   ('cardiac', 0.5791627536901631)
['osteoma', 'osteosarcoma', 'adenoma', 'adenocarcinoma']   ('pleomorphic', 0.6701797185227779)
['osteoma', 'osteosarcoma', 'adenoma', 'adenocarcinoma']   ('adenosqamous', 0.6161553244299931)
['osteoma', 'osteosarcoma', 'adenoma', 'adenocarcinoma']   ('hepatocellular', 0.6012684266749637)
['lymphangioma', 'lymphangiosarcoma', 'leiomyoma', 'leiomyosarcoma']   ('subserosal', 0.604920542363911)
['lymphangioma', 'lymphangiosarcoma', 'leiomyoma', 'leiomyosarcoma']   ('fibroids', 0.6010123327250257)
['lymphangioma', 'lymphangiosarcoma', 'leiomyoma', 'leiomyosarcoma']   ('chylous', 0.5780527112296822)
['lymphangioma', 'lymphangiosarcoma', 'rhabdomyoma', 'rhabdomyosarcoma']   ('interslice', 0.6308907250464595)
['lymphangioma', 'lymphangiosarcoma', 'rhabdomyoma', 'rhabdomyosarcoma']   ('phasicity', 0.6294650258357829)
['lymphangioma', 'lymphangiosarcoma', 'rhabdomyoma', 'rhabdomyosarcoma']   ('diathesis', 0.6224160873420098)
['lymphangioma', 'lymphangiosarcoma', 'adenoma', 'adenocarcinoma']   ('epiglottic', 0.5739493205016031)
['lymphangioma', 'lymphangiosarcoma', 'adenoma', 'adenocarcinoma']   ('hematomaparaduodenal', 0.5640744214119333)
['lymphangioma', 'lymphangiosarcoma', 'adenoma', 'adenocarcinoma']   ('ceruminous', 0.5509675294523513)
['leiomyoma', 'leiomyosarcoma', 'rhabdomyoma', 'rhabdomyosarcoma']   ('ventricleincreased', 0.6533075210712029)
['leiomyoma', 'leiomyosarcoma', 'rhabdomyoma', 'rhabdomyosarcoma']   ('myxoma', 0.6369415442384707)
['leiomyoma', 'leiomyosarcoma', 'rhabdomyoma', 'rhabdomyosarcoma']   ('muffled', 0.6283920538645615)
['leiomyoma', 'leiomyosarcoma', 'adenoma', 'adenocarcinoma']   ('pheochromocytoma', 0.6587526405916315)
['leiomyoma', 'leiomyosarcoma', 'adenoma', 'adenocarcinoma']   ('parathyroid', 0.6439047817839131)
['leiomyoma', 'leiomyosarcoma', 'adenoma', 'adenocarcinoma']   ('adrenal', 0.6399512698118313)
['rhabdomyoma', 'rhabdomyosarcoma', 'adenoma', 'adenocarcinoma']   ('pleomorphic', 0.7958159139201644)
['rhabdomyoma', 'rhabdomyosarcoma', 'adenoma', 'adenocarcinoma']   ('follicular', 0.663334286389587)
['rhabdomyoma', 'rhabdomyosarcoma', 'adenoma', 'adenocarcinoma']   ('undifferentiated', 0.6591042170417367)
['#Body_cavity']
['heart', 'thorax', 'stomach', 'abdomen']   ('fundus', 0.6587931381426805)
['heart', 'thorax', 'stomach', 'abdomen']   ('jejunum', 0.6194726554603935)
['heart', 'thorax', 'stomach', 'abdomen']   ('distended', 0.6164649324068643)
['heart', 'thorax', 'colon', 'abdomen']   ('rectum', 0.6890630217968651)
['heart', 'thorax', 'colon', 'abdomen']   ('cecum', 0.6123087800457763)
['heart', 'thorax', 'colon', 'abdomen']   ('rectosigmoid', 0.6025601728728446)
['heart', 'thorax', 'duodenum', 'abdomen']   ('triangles', 0.6551237462667845)
['heart', 'thorax', 'duodenum', 'abdomen']   ('jejunum', 0.6173804742331575)
['heart', 'thorax', 'duodenum', 'abdomen']   ('intertrochanteric', 0.6084993487496588)
['heart', 'thorax', 'jejunum', 'abdomen']   ('ileum', 0.6005609462427386)
['heart', 'thorax', 'jejunum', 'abdomen']   ('pylorus', 0.5816458698681738)
['heart', 'thorax', 'jejunum', 'abdomen']   ('vsds', 0.5787048392477716)
['heart', 'thorax', 'ileum', 'abdomen']   ('jejunum', 0.7447102504937683)
['heart', 'thorax', 'ileum', 'abdomen']   ('cecum', 0.5900335342959)
['heart', 'thorax', 'ileum', 'abdomen']   ('blockmay', 0.586626582151452)
['heart', 'thorax', 'pancreas', 'abdomen']   ('divisum', 0.7158078524488275)
['heart', 'thorax', 'pancreas', 'abdomen']   ('webbed', 0.6846377937155976)
['heart', 'thorax', 'pancreas', 'abdomen']   ('tilt', 0.6393676569928255)
['heart', 'thorax', 'liver', 'abdomen']   ('tilt', 0.5363217328496959)
['heart', 'thorax', 'liver', 'abdomen']   ('region', 0.5361117603772576)
['heart', 'thorax', 'liver', 'abdomen']   ('abdomen', 0.5317143284721955)
['heart', 'thorax', 'appendix', 'abdomen']   ('epididymis', 0.5643185673658486)
['heart', 'thorax', 'appendix', 'abdomen']   ('testis', 0.5239291336055157)
['heart', 'thorax', 'appendix', 'abdomen']   ('ureterocele', 0.5228416729130339)
['heart', 'thorax', 'spleen', 'abdomen']   ('tilt', 0.5628995909102086)
['heart', 'thorax', 'spleen', 'abdomen']   ('moves', 0.5503556244950502)
['heart', 'thorax', 'spleen', 'abdomen']   ('uretero', 0.5481383695243205)
['heart', 'thorax', 'bladder', 'pelvis']   ('exstrophy', 0.6259511399649301)
['heart', 'thorax', 'bladder', 'pelvis']   ('tcc', 0.6181741650265735)
['heart', 'thorax', 'bladder', 'pelvis']   ('urinary', 0.6054334255431272)
['heart', 'thorax', 'uterus', 'pelvis']   ('fibromyolipoma', 0.7572741661847971)
['heart', 'thorax', 'uterus', 'pelvis']   ('bicornuate', 0.6814127369054868)
['heart', 'thorax', 'uterus', 'pelvis']   ('adenosarcoma', 0.6692862762425891)
['lung', 'thorax', 'stomach', 'abdomen']   ('continues', 0.6099536567440385)
['lung', 'thorax', 'stomach', 'abdomen']   ('curvature', 0.6040567635532565)
['lung', 'thorax', 'stomach', 'abdomen']   ('ascends', 0.5684979036972302)
['lung', 'thorax', 'colon', 'abdomen']   ('cecum', 0.670245827945832)
['lung', 'thorax', 'colon', 'abdomen']   ('descending', 0.6289867950334699)
['lung', 'thorax', 'colon', 'abdomen']   ('ascends', 0.6165590646828043)
['lung', 'thorax', 'duodenum', 'abdomen']   ('intrapedicular', 0.6436938007028435)
['lung', 'thorax', 'duodenum', 'abdomen']   ('kneeregarding', 0.6125005966899596)
['lung', 'thorax', 'duodenum', 'abdomen']   ('ascends', 0.6000014910532424)
['lung', 'thorax', 'jejunum', 'abdomen']   ('oligonodular', 0.6317861365819623)
['lung', 'thorax', 'jejunum', 'abdomen']   ('intrapedicular', 0.6179365056653653)
['lung', 'thorax', 'jejunum', 'abdomen']   ('ileum', 0.6121367336576318)
['lung', 'thorax', 'ileum', 'abdomen']   ('tuft', 0.6438253624847292)
['lung', 'thorax', 'ileum', 'abdomen']   ('jejunum', 0.6047542296458095)
['lung', 'thorax', 'ileum', 'abdomen']   ('blockmay', 0.5998292376573191)
['lung', 'thorax', 'pancreas', 'abdomen']   ('divisum', 0.6437170846032352)
['lung', 'thorax', 'pancreas', 'abdomen']   ('ascends', 0.5726727604536721)
['lung', 'thorax', 'pancreas', 'abdomen']   ('kneeregarding', 0.5712621703560037)
['lung', 'thorax', 'liver', 'abdomen']   ('descends', 0.5566016938363914)
['lung', 'thorax', 'liver', 'abdomen']   ('abdomen', 0.5439699853930668)
['lung', 'thorax', 'appendix', 'abdomen']   ('malacoplakia', 0.5457516703015307)
['lung', 'thorax', 'appendix', 'abdomen']   ('perineum', 0.5104339974231397)
['lung', 'thorax', 'appendix', 'abdomen']   ('tropics', 0.5084401118620653)
['lung', 'thorax', 'spleen', 'abdomen']   ('moves', 0.5430017997603296)
['lung', 'thorax', 'spleen', 'abdomen']   ('umbilicus', 0.517265315048766)
['lung', 'thorax', 'spleen', 'abdomen']   ('continues', 0.509521024028664)
['lung', 'thorax', 'bladder', 'pelvis']   ('urinary', 0.6261721425971782)
['lung', 'thorax', 'bladder', 'pelvis']   ('malacoplakia', 0.6036981247712692)
['lung', 'thorax', 'bladder', 'pelvis']   ('perineum', 0.5882254387185314)
['lung', 'thorax', 'uterus', 'pelvis']   ('adenosarcoma', 0.632850900596632)
['lung', 'thorax', 'uterus', 'pelvis']   ('fibromyolipoma', 0.6232279422270792)
['lung', 'thorax', 'uterus', 'pelvis']   ('bicornuate', 0.594748755020842)
['thymus', 'thorax', 'stomach', 'abdomen']   ('rectum', 0.5951660517956829)
['thymus', 'thorax', 'stomach', 'abdomen']   ('close', 0.5334267216461307)
['thymus', 'thorax', 'stomach', 'abdomen']   ('front', 0.5266863933533146)
['thymus', 'thorax', 'colon', 'abdomen']   ('descending', 0.6764257931817855)
['thymus', 'thorax', 'colon', 'abdomen']   ('rectum', 0.6512550714130798)
['thymus', 'thorax', 'colon', 'abdomen']   ('mid', 0.5413484291513582)
['thymus', 'thorax', 'duodenum', 'abdomen']   ('part', 0.6085569662852833)
['thymus', 'thorax', 'duodenum', 'abdomen']   ('rectum', 0.5780932069012066)
['thymus', 'thorax', 'duodenum', 'abdomen']   ('portion', 0.5770431720805679)
['thymus', 'thorax', 'jejunum', 'abdomen']   ('ileum', 0.6351379041160762)
['thymus', 'thorax', 'jejunum', 'abdomen']   ('bronchioles', 0.5629957722172885)
['thymus', 'thorax', 'jejunum', 'abdomen']   ('rectum', 0.5510310829688267)
['thymus', 'thorax', 'ileum', 'abdomen']   ('terminal', 0.6714044641819495)
['thymus', 'thorax', 'ileum', 'abdomen']   ('bronchioles', 0.6071386219407701)
['thymus', 'thorax', 'ileum', 'abdomen']   ('jejunum', 0.589589280161671)
['thymus', 'thorax', 'pancreas', 'abdomen']   ('head', 0.6034226834915395)
['thymus', 'thorax', 'pancreas', 'abdomen']   ('along', 0.5598770227160876)
['thymus', 'thorax', 'pancreas', 'abdomen']   ('neck', 0.5548374077327998)
['thymus', 'thorax', 'liver', 'abdomen']   ('abdomen', 0.6074080529421912)
['thymus', 'thorax', 'appendix', 'abdomen']   ('urinary', 0.5469423998665908)
['thymus', 'thorax', 'appendix', 'abdomen']   ('bronchioles', 0.514998794806063)
['thymus', 'thorax', 'appendix', 'abdomen']   ('arm', 0.5041468284260882)
['thymus', 'thorax', 'spleen', 'abdomen']   ('abdomen', 0.6041653230585102)
['thymus', 'thorax', 'bladder', 'pelvis']   ('urinary', 0.6938334384295347)
['thymus', 'thorax', 'bladder', 'pelvis']   ('abdomen', 0.5903082516425061)
['thymus', 'thorax', 'bladder', 'pelvis']   ('gi', 0.5739486654545464)
['thymus', 'thorax', 'uterus', 'pelvis']   ('limbs', 0.6007770517518811)
['thymus', 'thorax', 'uterus', 'pelvis']   ('upper', 0.566007765343264)
['thymus', 'thorax', 'uterus', 'pelvis']   ('limb', 0.5489233912774661)
['stomach', 'abdomen', 'bladder', 'pelvis']   ('pelvis', 0.6657693396443677)
['stomach', 'abdomen', 'uterus', 'pelvis']   ('pelvis', 0.5301618013770115)
['colon', 'abdomen', 'bladder', 'pelvis']   ('pelvis', 0.7062490220704423)
['colon', 'abdomen', 'uterus', 'pelvis']   ('pelvis', 0.5715735219962922)
['duodenum', 'abdomen', 'bladder', 'pelvis']   ('gi', 0.6353386581467195)
['duodenum', 'abdomen', 'bladder', 'pelvis']   ('urinary', 0.6100927946061443)
['duodenum', 'abdomen', 'bladder', 'pelvis']   ('pelvis', 0.5947153158698912)
['duodenum', 'abdomen', 'uterus', 'pelvis']   ('limit', 0.6022065388312696)
['duodenum', 'abdomen', 'uterus', 'pelvis']   ('chest', 0.54740526880451)
['duodenum', 'abdomen', 'uterus', 'pelvis']   ('pelvis', 0.5178757468251752)
['jejunum', 'abdomen', 'bladder', 'pelvis']   ('pelvis', 0.6682356871851024)
['jejunum', 'abdomen', 'uterus', 'pelvis']   ('pelvis', 0.5729714525390502)
['ileum', 'abdomen', 'bladder', 'pelvis']   ('pelvis', 0.652234499311802)
['ileum', 'abdomen', 'uterus', 'pelvis']   ('adenosarcoma', 0.583512764012304)
['ileum', 'abdomen', 'uterus', 'pelvis']   ('pelvis', 0.559737380389143)
['pancreas', 'abdomen', 'bladder', 'pelvis']   ('gi', 0.6935378733940325)
['pancreas', 'abdomen', 'bladder', 'pelvis']   ('urinary', 0.6116623082932336)
['pancreas', 'abdomen', 'bladder', 'pelvis']   ('pelvis', 0.6005694679945629)
['pancreas', 'abdomen', 'uterus', 'pelvis']   ('limit', 0.6712752638726655)
['pancreas', 'abdomen', 'uterus', 'pelvis']   ('vagina', 0.5818233490137663)
['pancreas', 'abdomen', 'uterus', 'pelvis']   ('exam', 0.5703014971788395)
['liver', 'abdomen', 'bladder', 'pelvis']   ('urinary', 0.6607311478993689)
['liver', 'abdomen', 'bladder', 'pelvis']   ('thorax', 0.6592724085771757)
['liver', 'abdomen', 'bladder', 'pelvis']   ('gi', 0.6037599410901733)
['liver', 'abdomen', 'uterus', 'pelvis']   ('thorax', 0.6620068621113684)
['liver', 'abdomen', 'uterus', 'pelvis']   ('vagina', 0.6550781630544614)
['liver', 'abdomen', 'uterus', 'pelvis']   ('fibromyolipoma', 0.6357927970927159)
['appendix', 'abdomen', 'bladder', 'pelvis']   ('pelvis', 0.6892336371449385)
['appendix', 'abdomen', 'uterus', 'pelvis']   ('entire', 0.6220798104569341)
['appendix', 'abdomen', 'uterus', 'pelvis']   ('pelvis', 0.6108995854799963)
['spleen', 'abdomen', 'bladder', 'pelvis']   ('urinary', 0.7052485477506367)
['spleen', 'abdomen', 'bladder', 'pelvis']   ('gi', 0.6400594745288016)
['spleen', 'abdomen', 'bladder', 'pelvis']   ('thorax', 0.6197101964506593)
['spleen', 'abdomen', 'uterus', 'pelvis']   ('thorax', 0.6581230416977509)
['spleen', 'abdomen', 'uterus', 'pelvis']   ('vagina', 0.6184496073338659)
['spleen', 'abdomen', 'uterus', 'pelvis']   ('adenosarcoma', 0.5699806555906999)
['#Bone_group']
['ulna', 'forearm', 'tibia', 'leg']   ('thigh', 0.7835027083697603)
['ulna', 'forearm', 'tibia', 'leg']   ('knee', 0.6927017965766104)
['ulna', 'forearm', 'tibia', 'leg']   ('femur', 0.6849725878944983)
['ulna', 'forearm', 'fibula', 'leg']   ('thigh', 0.7562708378918253)
['ulna', 'forearm', 'fibula', 'leg']   ('tibia', 0.6816137650396381)
['ulna', 'forearm', 'fibula', 'leg']   ('femur', 0.6754872271514282)
['ulna', 'forearm', 'ilium', 'hip']   ('perineum', 0.7095740860643687)
['ulna', 'forearm', 'ilium', 'hip']   ('frcr', 0.6273585016215395)
['ulna', 'forearm', 'ilium', 'hip']   ('slipped', 0.6152701935665797)
['ulna', 'forearm', 'pubis', 'hip']   ('perineum', 0.6457468572374006)
['ulna', 'forearm', 'pubis', 'hip']   ('tenesmus', 0.6356578972669376)
['ulna', 'forearm', 'pubis', 'hip']   ('epigastric', 0.5759971140076099)
['ulna', 'forearm', 'ischium', 'hip']   ('perineum', 0.709375684339829)
['ulna', 'forearm', 'ischium', 'hip']   ('tenesmus', 0.6929782969751114)
['ulna', 'forearm', 'ischium', 'hip']   ('retrocecal', 0.629288536085736)
['ulna', 'forearm', 'femur', 'thigh']   ('thigh', 0.7714697131404953)
['ulna', 'forearm', 'humerus', 'arm']   ('thigh', 0.7845407054864522)
['ulna', 'forearm', 'humerus', 'arm']   ('femur', 0.7180729547421187)
['ulna', 'forearm', 'humerus', 'arm']   ('elbow', 0.6843205505196645)
['ulna', 'forearm', 'capitate', 'wrist']   ('diffusivity', 0.670836103629186)
['ulna', 'forearm', 'capitate', 'wrist']   ('flexors', 0.6466458128670882)
['ulna', 'forearm', 'capitate', 'wrist']   ('supination', 0.6372353407601657)
['ulna', 'forearm', 'hamate', 'wrist']   ('trapezium', 0.6115976533535066)
['ulna', 'forearm', 'hamate', 'wrist']   ('diffusivity', 0.6070778866383848)
['ulna', 'forearm', 'hamate', 'wrist']   ('flexors', 0.5880679206774899)
['ulna', 'forearm', 'trapezium', 'wrist']   ('midfoot', 0.6098200932952632)
['ulna', 'forearm', 'trapezium', 'wrist']   ('diffusivity', 0.5885234312270969)
['ulna', 'forearm', 'trapezium', 'wrist']   ('atraumatic', 0.5867342509841016)
['ulna', 'forearm', 'trapezoid', 'wrist']   ('trochanteric', 0.60654478510595)
['ulna', 'forearm', 'trapezoid', 'wrist']   ('lunotriquetral', 0.5924785521205537)
['ulna', 'forearm', 'trapezoid', 'wrist']   ('calcaneonavicular', 0.5923428817880001)
['ulna', 'forearm', 'scaphoid', 'wrist']   ('wrist', 0.6942478534165483)
['ulna', 'forearm', 'triquetrum', 'wrist']   ('rmsprop', 0.6344957084555205)
['ulna', 'forearm', 'triquetrum', 'wrist']   ('hernias', 0.6124071529284385)
['ulna', 'forearm', 'triquetrum', 'wrist']   ('tenesmus', 0.609587350094943)
['ulna', 'forearm', 'lunate', 'wrist']   ('hip', 0.635735931865884)
['ulna', 'forearm', 'lunate', 'wrist']   ('elbow', 0.6276128537576761)
['ulna', 'forearm', 'lunate', 'wrist']   ('replacements', 0.622973032802748)
['ulna', 'forearm', 'pisiform', 'wrist']   ('diffusivity', 0.6656415403763158)
['ulna', 'forearm', 'pisiform', 'wrist']   ('midfoot', 0.6525841861736348)
['ulna', 'forearm', 'pisiform', 'wrist']   ('trapezium', 0.6272352753589815)
['ulna', 'forearm', 'calvarium', 'skull']   ('perineum', 0.6062674170837268)
['ulna', 'forearm', 'calvarium', 'skull']   ('thigh', 0.5901622058959393)
['ulna', 'forearm', 'calvarium', 'skull']   ('compartments', 0.5674561547572466)
['ulna', 'forearm', 'zygomatic', 'skull']   ('supra', 0.613835954705453)
['ulna', 'forearm', 'zygomatic', 'skull']   ('buccal', 0.5978135202354048)
['ulna', 'forearm', 'zygomatic', 'skull']   ('transmits', 0.5943914385984086)
['ulna', 'forearm', 'mandible', 'skull']   ('perineum', 0.6079910676562469)
['ulna', 'forearm', 'mandible', 'skull']   ('thigh', 0.6027818111655524)
['ulna', 'forearm', 'mandible', 'skull']   ('outside', 0.5672274576576348)
['ulna', 'forearm', 'parietal', 'skull']   ('visceral', 0.7295162266241626)
['ulna', 'forearm', 'parietal', 'skull']   ('pleura', 0.7214096244741482)
