#Benign_malignant
benign,malignant,fibroma,fibrosarcoma
lung,thorax,duodenum,abdomen
lung,thorax,jejunum,abdomen
lung,thorax,ileum,abdomen
lung,thorax,pancreas,abdomen
lung,thorax,liver,abdomen
lung,thorax,appendix,abdomen
lung,thorax,spleen,abdomen
lung,thorax,bladder,pelvis
lung,thorax,uterus,pelvis
thymus,thorax,stomach,abdomen
thymus,thorax,colon,abdomen
thymus,thorax,duodenum,abdomen
thymus,thorax,jejunum,abdomen
thymus,thorax,ileum,abdomen
thymus,thorax,pancreas,abdomen
thymus,thorax,liver,abdomen
thymus,thorax,appendix,abdomen
thymus,thorax,spleen,abdomen
thymus,thorax,bladder,pelvis
thymus,thorax,uterus,pelvis
stomach,abdomen,bladder,pelvis
stomach,abdomen,uterus,pelvis
colon,abdomen,bladder,pelvis
colon,abdomen,uterus,pelvis
duodenum,abdomen,bladder,pelvis
duodenum,abdomen,uterus,pelvis
jejunum,abdomen,bladder,pelvis
jejunum,abdomen,uterus,pelvis
ileum,abdomen,bladder,pelvis
ileum,abdomen,uterus,pelvis
pancreas,abdomen,bladder,pelvis
pancreas,abdomen,uterus,pelvis
liver,abdomen,bladder,pelvis
liver,abdomen,uterus,pelvis
appendix,abdomen,bladder,pelvis
appendix,abdomen,uterus,pelvis
spleen,abdomen,bladder,pelvis
spleen,abdomen,uterus,pelvis
#Bone_group
ulna,forearm,tibia,leg
ulna,forearm,fibula,leg
ulna,forearm,ilium,hip
ulna,forearm,pubis,hip
ulna,forearm,ischium,hip
ulna,forearm,femur,thigh
ulna,forearm,humerus,arm
ulna,forearm,capitate,wrist
ulna,forearm,hamate,wrist
ulna,forearm,trapezium,wrist
ulna,forearm,trapezoid,wrist
ulna,forearm,scaphoid,wrist
ulna,forearm,triquetrum,wrist
ulna,forearm,lunate,wrist
ulna,forearm,pisiform,wrist
ulna,forearm,calvarium,skull
ulna,forearm,zygomatic,skull
ulna,forearm,mandible,skull
ulna,forearm,parietal,skull
ulna,forearm,occipital,skull
ulna,forearm,frontal,skull
ulna,forearm,sphenoid,skull
ulna,forearm,maxilla,skull
ulna,forearm,vomer,skull
ulna,forearm,ethmoid,skull
ulna,forearm,malleus,ossicle
ulna,forearm,incus,ossicle
ulna,forearm,stapes,ossicle
radius,forearm,tibia,leg
radius,forearm,fibula,leg
radius,forearm,ilium,hip
radius,forearm,pubis,hip
radius,forearm,ischium,hip
radius,forearm,femur,thigh
radius,forearm,humerus,arm
radius,forearm,capitate,wrist
radius,forearm,hamate,wrist
radius,forearm,trapezium,wrist
radius,forearm,trapezoid,wrist
radius,forearm,scaphoid,wrist
radius,forearm,triquetrum,wrist
radius,forearm,lunate,wrist
radius,forearm,pisiform,wrist
radius,forearm,calvarium,skull
radius,forearm,zygomatic,skull
radius,forearm,mandible,skull
radius,forearm,parietal,skull
radius,forearm,occipital,skull
radius,forearm,frontal,skull
radius,forearm,sphenoid,skull
radius,forearm,maxilla,skull
radius,forearm,vomer,skull
radius,forearm,ethmoid,skull
radius,forearm,malleus,ossicle
radius,forearm,incus,ossicle
radius,forearm,stapes,ossicle
tibia,leg,ilium,hip
tibia,leg,pubis,hip
tibia,leg,ischium,hip
tibia,leg,femur,thigh
tibia,leg,humerus,arm
tibia,leg,capitate,wrist
tibia,leg,hamate,wrist
tibia,leg,trapezium,wrist
tibia,leg,trapezoid,wrist
tibia,leg,scaphoid,wrist
tibia,leg,triquetrum,wrist
tibia,leg,lunate,wrist
tibia,leg,pisiform,wrist
tibia,leg,calvarium,skull
tibia,leg,zygomatic,skull
tibia,leg,mandible,skull
tibia,leg,parietal,skull
tibia,leg,occipital,skull
tibia,leg,frontal,skull
tibia,leg,sphenoid,skull
tibia,leg,maxilla,skull
tibia,leg,vomer,skull
tibia,leg,ethmoid,skull
tibia,leg,malleus,ossicle
tibia,leg,incus,ossicle
tibia,leg,stapes,ossicle
fibula,leg,ilium,hip
fibula,leg,pubis,hip
fibula,leg,ischium,hip
fibula,leg,femur,thigh
fibula,leg,humerus,arm
fibula,leg,capitate,wrist
fibula,leg,hamate,wrist
fibula,leg,trapezium,wrist
fibula,leg,trapezoid,wrist
fibula,leg,scaphoid,wrist
fibula,leg,triquetrum,wrist
fibula,leg,lunate,wrist
fibula,leg,pisiform,wrist
fibula,leg,calvarium,skull
fibula,leg,zygomatic,skull
fibula,leg,mandible,skull
fibula,leg,parietal,skull
fibula,leg,occipital,skull
fibula,leg,frontal,skull
fibula,leg,sphenoid,skull
fibula,leg,maxilla,skull
fibula,leg,vomer,skull
fibula,leg,ethmoid,skull
fibula,leg,malleus,ossicle
fibula,leg,incus,ossicle
fibula,leg,stapes,ossicle
ilium,hip,femur,thigh
ilium,hip,humerus,arm
ilium,hip,capitate,wrist
ilium,hip,hamate,wrist
ilium,hip,trapezium,wrist
ilium,hip,trapezoid,wrist
ilium,hip,scaphoid,wrist
ilium,hip,triquetrum,wrist
ilium,hip,lunate,wrist
ilium,hip,pisiform,wrist
ilium,hip,calvarium,skull
ilium,hip,zygomatic,skull
ilium,hip,mandible,skull
ilium,hip,parietal,skull
ilium,hip,occipital,skull
ilium,hip,frontal,skull
ilium,hip,sphenoid,skull
ilium,hip,maxilla,skull
ilium,hip,vomer,skull
ilium,hip,ethmoid,skull
ilium,hip,malleus,ossicle
ilium,hip,incus,ossicle
ilium,hip,stapes,ossicle
pubis,hip,femur,thigh
pubis,hip,humerus,arm
pubis,hip,capitate,wrist
pubis,hip,hamate,wrist
pubis,hip,trapezium,wrist
pubis,hip,trapezoid,wrist
pubis,hip,scaphoid,wrist
pubis,hip,triquetrum,wrist
pubis,hip,lunate,wrist
pubis,hip,pisiform,wrist
pubis,hip,calvarium,skull
pubis,hip,zygomatic,skull
pubis,hip,mandible,skull
pubis,hip,parietal,skull
pubis,hip,occipital,skull
pubis,hip,frontal,skull
pubis,hip,sphenoid,skull
pubis,hip,maxilla,skull
pubis,hip,vomer,skull
pubis,hip,ethmoid,skull
pubis,hip,malleus,ossicle
pubis,hip,incus,ossicle
pubis,hip,stapes,ossicle
ischium,hip,femur,thigh
ischium,hip,humerus,arm
ischium,hip,capitate,wrist
ischium,hip,hamate,wrist
ischium,hip,trapezium,wrist
ischium,hip,trapezoid,wrist
ischium,hip,scaphoid,wrist
ischium,hip,triquetrum,wrist
ischium,hip,lunate,wrist
ischium,hip,pisiform,wrist
ischium,hip,calvarium,skull
ischium,hip,zygomatic,skull
ischium,hip,mandible,skull
ischium,hip,parietal,skull
ischium,hip,occipital,skull
ischium,hip,frontal,skull
ischium,hip,sphenoid,skull
ischium,hip,maxilla,skull
ischium,hip,vomer,skull
ischium,hip,ethmoid,skull
ischium,hip,malleus,ossicle
ischium,hip,incus,ossicle
ischium,hip,stapes,ossicle
femur,thigh,humerus,arm
femur,thigh,capitate,wrist
femur,thigh,hamate,wrist
femur,thigh,trapezium,wrist
femur,thigh,trapezoid,wrist
femur,thigh,scaphoid,wrist
femur,thigh,triquetrum,wrist
femur,thigh,lunate,wrist
femur,thigh,pisiform,wrist
femur,thigh,calvarium,skull
femur,thigh,zygomatic,skull
femur,thigh,mandible,skull
femur,thigh,parietal,skull
femur,thigh,occipital,skull
femur,thigh,frontal,skull
femur,thigh,sphenoid,skull
femur,thigh,maxilla,skull
femur,thigh,vomer,skull
femur,thigh,ethmoid,skull
femur,thigh,malleus,ossicle
femur,thigh,incus,ossicle
femur,thigh,stapes,ossicle
humerus,arm,capitate,wrist
humerus,arm,hamate,wrist
humerus,arm,trapezium,wrist
humerus,arm,trapezoid,wrist
humerus,arm,scaphoid,wrist
humerus,arm,triquetrum,wrist
humerus,arm,lunate,wrist
humerus,arm,pisiform,wrist
humerus,arm,calvarium,skull
humerus,arm,zygomatic,skull
humerus,arm,mandible,skull
humerus,arm,parietal,skull
humerus,arm,occipital,skull
humerus,arm,frontal,skull
humerus,arm,sphenoid,skull
humerus,arm,maxilla,skull
humerus,arm,vomer,skull
humerus,arm,ethmoid,skull
humerus,arm,malleus,ossicle
humerus,arm,incus,ossicle
humerus,arm,stapes,ossicle
capitate,wrist,calvarium,skull
capitate,wrist,zygomatic,skull
capitate,wrist,mandible,skull
capitate,wrist,parietal,skull
capitate,wrist,occipital,skull
capitate,wrist,frontal,skull
capitate,wrist,sphenoid,skull
capitate,wrist,maxilla,skull
capitate,wrist,vomer,skull
capitate,wrist,ethmoid,skull
capitate,wrist,malleus,ossicle
capitate,wrist,incus,ossicle
capitate,wrist,stapes,ossicle
hamate,wrist,calvarium,skull
hamate,wrist,zygomatic,skull
hamate,wrist,mandible,skull
hamate,wrist,parietal,skull
hamate,wrist,occipital,skull
hamate,wrist,frontal,skull
hamate,wrist,sphenoid,skull
hamate,wrist,maxilla,skull
hamate,wrist,vomer,skull
hamate,wrist,ethmoid,skull
hamate,wrist,malleus,ossicle
hamate,wrist,incus,ossicle
hamate,wrist,stapes,ossicle
trapezium,wrist,calvarium,skull
trapezium,wrist,zygomatic,skull
trapezium,wrist,mandible,skull
trapezium,wrist,parietal,skull
trapezium,wrist,occipital,skull
trapezium,wrist,frontal,skull
trapezium,wrist,sphenoid,skull
trapezium,wrist,maxilla,skull
trapezium,wrist,vomer,skull
trapezium,wrist,ethmoid,skull
trapezium,wrist,malleus,ossicle
trapezium,wrist,incus,ossicle
trapezium,wrist,stapes,ossicle
trapezoid,wrist,calvarium,skull
trapezoid,wrist,zygomatic,skull
trapezoid,wrist,mandible,skull
trapezoid,wrist,parietal,skull
trapezoid,wrist,occipital,skull
trapezoid,wrist,frontal,skull
trapezoid,wrist,sphenoid,skull
trapezoid,wrist,maxilla,skull
trapezoid,wrist,vomer,skull
trapezoid,wrist,ethmoid,skull
trapezoid,wrist,malleus,ossicle
trapezoid,wrist,incus,ossicle
trapezoid,wrist,stapes,ossicle
scaphoid,wrist,calvarium,skull
scaphoid,wrist,zygomatic,skull
scaphoid,wrist,mandible,skull
scaphoid,wrist,parietal,skull
scaphoid,wrist,occipital,skull
scaphoid,wrist,frontal,skull
scaphoid,wrist,sphenoid,skull
scaphoid,wrist,maxilla,skull
scaphoid,wrist,vomer,skull
scaphoid,wrist,ethmoid,skull
scaphoid,wrist,malleus,ossicle
scaphoid,wrist,incus,ossicle
scaphoid,wrist,stapes,ossicle
triquetrum,wrist,calvarium,skull
triquetrum,wrist,zygomatic,skull
triquetrum,wrist,mandible,skull
triquetrum,wrist,parietal,skull
triquetrum,wrist,occipital,skull
triquetrum,wrist,frontal,skull
triquetrum,wrist,sphenoid,skull
triquetrum,wrist,maxilla,skull
triquetrum,wrist,vomer,skull
triquetrum,wrist,ethmoid,skull
triquetrum,wrist,malleus,ossicle
triquetrum,wrist,incus,ossicle
triquetrum,wrist,stapes,ossicle
lunate,wrist,calvarium,skull
lunate,wrist,zygomatic,skull
lunate,wrist,mandible,skull
lunate,wrist,parietal,skull
lunate,wrist,occipital,skull
lunate,wrist,frontal,skull
lunate,wrist,sphenoid,skull
lunate,wrist,maxilla,skull
lunate,wrist,vomer,skull
lunate,wrist,ethmoid,skull
lunate,wrist,malleus,ossicle
lunate,wrist,incus,ossicle
lunate,wrist,stapes,ossicle
pisiform,wrist,calvarium,skull
pisiform,wrist,zygomatic,skull
pisiform,wrist,mandible,skull
pisiform,wrist,parietal,skull
pisiform,wrist,occipital,skull
pisiform,wrist,frontal,skull
pisiform,wrist,sphenoid,skull
pisiform,wrist,maxilla,skull
pisiform,wrist,vomer,skull
pisiform,wrist,ethmoid,skull
pisiform,wrist,malleus,ossicle
pisiform,wrist,incus,ossicle
pisiform,wrist,stapes,ossicle
calvarium,skull,malleus,ossicle
calvarium,skull,incus,ossicle
calvarium,skull,stapes,ossicle
zygomatic,skull,malleus,ossicle
zygomatic,skull,incus,ossicle
zygomatic,skull,stapes,ossicle
mandible,skull,malleus,ossicle
mandible,skull,incus,ossicle
mandible,skull,stapes,ossicle
parietal,skull,malleus,ossicle
parietal,skull,incus,ossicle
parietal,skull,stapes,ossicle
occipital,skull,malleus,ossicle
occipital,skull,incus,ossicle
occipital,skull,stapes,ossicle
frontal,skull,malleus,ossicle
frontal,skull,incus,ossicle
frontal,skull,stapes,ossicle
sphenoid,skull,malleus,ossicle
sphenoid,skull,incus,ossicle
sphenoid,skull,stapes,ossicle
maxilla,skull,malleus,ossicle
maxilla,skull,incus,ossicle
maxilla,skull,stapes,ossicle
vomer,skull,malleus,ossicle
vomer,skull,incus,ossicle
vomer,skull,stapes,ossicle
ethmoid,skull,malleus,ossicle
ethmoid,skull,incus,ossicle
ethmoid,skull,stapes,ossicle
#Bone_muscle
radius,bone,gracilis,muscle
radius,bone,deltoid,muscle
radius,bone,infraspinatus,muscle
radius,bone,subscapularis,muscle
radius,bone,supraspinatus,muscle
radius,bone,triceps,muscle
radius,bone,biceps,muscle
radius,bone,brachialis,muscle
radius,bone,supinator,muscle
radius,bone,coracobrachialis,muscle
radius,bone,trapezius,muscle
radius,bone,anconeus,muscle
radius,bone,sternocleidomastoid,muscle
radius,bone,subclavius,muscle
radius,bone,soleus,muscle
radius,bone,sartorius,muscle
radius,bone,iliacus,muscle
humerus,bone,gracilis,muscle
humerus,bone,deltoid,muscle
humerus,bone,infraspinatus,muscle
humerus,bone,subscapularis,muscle
humerus,bone,supraspinatus,muscle
humerus,bone,triceps,muscle
humerus,bone,biceps,muscle
humerus,bone,brachialis,muscle
humerus,bone,supinator,muscle
humerus,bone,coracobrachialis,muscle
humerus,bone,trapezius,muscle
humerus,bone,anconeus,muscle
humerus,bone,sternocleidomastoid,muscle
humerus,bone,subclavius,muscle
humerus,bone,soleus,muscle
humerus,bone,sartorius,muscle
humerus,bone,iliacus,muscle
capitate,bone,gracilis,muscle
capitate,bone,deltoid,muscle
capitate,bone,infraspinatus,muscle
capitate,bone,subscapularis,muscle
capitate,bone,supraspinatus,muscle
capitate,bone,triceps,muscle
capitate,bone,biceps,muscle
capitate,bone,brachialis,muscle
capitate,bone,supinator,muscle
capitate,bone,coracobrachialis,muscle
capitate,bone,trapezius,muscle
capitate,bone,anconeus,muscle
capitate,bone,sternocleidomastoid,muscle
capitate,bone,subclavius,muscle
capitate,bone,soleus,muscle
capitate,bone,sartorius,muscle
capitate,bone,iliacus,muscle
hamate,bone,gracilis,muscle
hamate,bone,deltoid,muscle
hamate,bone,infraspinatus,muscle
hamate,bone,subscapularis,muscle
hamate,bone,supraspinatus,muscle
hamate,bone,triceps,muscle
hamate,bone,biceps,muscle
hamate,bone,brachialis,muscle
hamate,bone,supinator,muscle
hamate,bone,coracobrachialis,muscle
hamate,bone,trapezius,muscle
hamate,bone,anconeus,muscle
hamate,bone,sternocleidomastoid,muscle
hamate,bone,subclavius,muscle
hamate,bone,soleus,muscle
hamate,bone,sartorius,muscle
hamate,bone,iliacus,muscle
trapezoid,bone,gracilis,muscle
trapezoid,bone,deltoid,muscle
trapezoid,bone,infraspinatus,muscle
trapezoid,bone,subscapularis,muscle
trapezoid,bone,supraspinatus,muscle
trapezoid,bone,triceps,muscle
trapezoid,bone,biceps,muscle
trapezoid,bone,brachialis,muscle
trapezoid,bone,supinator,muscle
trapezoid,bone,coracobrachialis,muscle
trapezoid,bone,trapezius,muscle
trapezoid,bone,anconeus,muscle
trapezoid,bone,sternocleidomastoid,muscle
trapezoid,bone,subclavius,muscle
trapezoid,bone,soleus,muscle
trapezoid,bone,sartorius,muscle
trapezoid,bone,iliacus,muscle
trapezium,bone,gracilis,muscle
trapezium,bone,deltoid,muscle
trapezium,bone,infraspinatus,muscle
trapezium,bone,subscapularis,muscle
trapezium,bone,supraspinatus,muscle
trapezium,bone,triceps,muscle
trapezium,bone,biceps,muscle
trapezium,bone,brachialis,muscle
trapezium,bone,supinator,muscle
trapezium,bone,coracobrachialis,muscle
trapezium,bone,trapezius,muscle
trapezium,bone,anconeus,muscle
trapezium,bone,sternocleidomastoid,muscle
trapezium,bone,subclavius,muscle
trapezium,bone,soleus,muscle
trapezium,bone,sartorius,muscle
trapezium,bone,iliacus,muscle
scaphoid,bone,gracilis,muscle
scaphoid,bone,deltoid,muscle
scaphoid,bone,infraspinatus,muscle
scaphoid,bone,subscapularis,muscle
scaphoid,bone,supraspinatus,muscle
scaphoid,bone,triceps,muscle
scaphoid,bone,biceps,muscle
scaphoid,bone,brachialis,muscle
scaphoid,bone,supinator,muscle
scaphoid,bone,coracobrachialis,muscle
scaphoid,bone,trapezius,muscle
scaphoid,bone,anconeus,muscle
scaphoid,bone,sternocleidomastoid,muscle
scaphoid,bone,subclavius,muscle
scaphoid,bone,soleus,muscle
scaphoid,bone,sartorius,muscle
scaphoid,bone,iliacus,muscle
triquetrum,bone,gracilis,muscle
triquetrum,bone,deltoid,muscle
triquetrum,bone,infraspinatus,muscle
triquetrum,bone,subscapularis,muscle
triquetrum,bone,supraspinatus,muscle
triquetrum,bone,triceps,muscle
triquetrum,bone,biceps,muscle
triquetrum,bone,brachialis,muscle
triquetrum,bone,supinator,muscle
triquetrum,bone,coracobrachialis,muscle
triquetrum,bone,trapezius,muscle
triquetrum,bone,anconeus,muscle
triquetrum,bone,sternocleidomastoid,muscle
triquetrum,bone,subclavius,muscle
triquetrum,bone,soleus,muscle
triquetrum,bone,sartorius,muscle
triquetrum,bone,iliacus,muscle
lunate,bone,gracilis,muscle
lunate,bone,deltoid,muscle
lunate,bone,infraspinatus,muscle
lunate,bone,subscapularis,muscle
lunate,bone,supraspinatus,muscle
lunate,bone,triceps,muscle
lunate,bone,biceps,muscle
lunate,bone,brachialis,muscle
lunate,bone,supinator,muscle
lunate,bone,coracobrachialis,muscle
lunate,bone,trapezius,muscle
lunate,bone,anconeus,muscle
lunate,bone,sternocleidomastoid,muscle
lunate,bone,subclavius,muscle
lunate,bone,soleus,muscle
lunate,bone,sartorius,muscle
lunate,bone,iliacus,muscle
pisiform,bone,gracilis,muscle
pisiform,bone,deltoid,muscle
pisiform,bone,infraspinatus,muscle
pisiform,bone,subscapularis,muscle
pisiform,bone,supraspinatus,muscle
pisiform,bone,triceps,muscle
pisiform,bone,biceps,muscle
pisiform,bone,brachialis,muscle
pisiform,bone,supinator,muscle
pisiform,bone,coracobrachialis,muscle
pisiform,bone,trapezius,muscle
pisiform,bone,anconeus,muscle
pisiform,bone,sternocleidomastoid,muscle
pisiform,bone,subclavius,muscle
pisiform,bone,soleus,muscle
pisiform,bone,sartorius,muscle
pisiform,bone,iliacus,muscle
clavicle,bone,gracilis,muscle
clavicle,bone,deltoid,muscle
clavicle,bone,infraspinatus,muscle
clavicle,bone,subscapularis,muscle
clavicle,bone,supraspinatus,muscle
clavicle,bone,triceps,muscle
clavicle,bone,biceps,muscle
clavicle,bone,brachialis,muscle
clavicle,bone,supinator,muscle
clavicle,bone,coracobrachialis,muscle
clavicle,bone,trapezius,muscle
clavicle,bone,anconeus,muscle
clavicle,bone,sternocleidomastoid,muscle
clavicle,bone,subclavius,muscle
clavicle,bone,soleus,muscle
clavicle,bone,sartorius,muscle
clavicle,bone,iliacus,muscle
sternum,bone,gracilis,muscle
sternum,bone,deltoid,muscle
sternum,bone,infraspinatus,muscle
sternum,bone,subscapularis,muscle
sternum,bone,supraspinatus,muscle
sternum,bone,triceps,muscle
sternum,bone,biceps,muscle
sternum,bone,brachialis,muscle
sternum,bone,supinator,muscle
sternum,bone,coracobrachialis,muscle
sternum,bone,trapezius,muscle
sternum,bone,anconeus,muscle
sternum,bone,sternocleidomastoid,muscle
sternum,bone,subclavius,muscle
sternum,bone,soleus,muscle
sternum,bone,sartorius,muscle
sternum,bone,iliacus,muscle
scapula,bone,gracilis,muscle
scapula,bone,deltoid,muscle
scapula,bone,infraspinatus,muscle
scapula,bone,subscapularis,muscle
scapula,bone,supraspinatus,muscle
scapula,bone,triceps,muscle
scapula,bone,biceps,muscle
scapula,bone,brachialis,muscle
scapula,bone,supinator,muscle
scapula,bone,coracobrachialis,muscle
scapula,bone,trapezius,muscle
scapula,bone,anconeus,muscle
scapula,bone,sternocleidomastoid,muscle
scapula,bone,subclavius,muscle
scapula,bone,soleus,muscle
scapula,bone,sartorius,muscle
scapula,bone,iliacus,muscle
sacrum,bone,gracilis,muscle
sacrum,bone,deltoid,muscle
sacrum,bone,infraspinatus,muscle
sacrum,bone,subscapularis,muscle
sacrum,bone,supraspinatus,muscle
sacrum,bone,triceps,muscle
sacrum,bone,biceps,muscle
sacrum,bone,brachialis,muscle
sacrum,bone,supinator,muscle
sacrum,bone,coracobrachialis,muscle
sacrum,bone,trapezius,muscle
sacrum,bone,anconeus,muscle
sacrum,bone,sternocleidomastoid,muscle
sacrum,bone,subclavius,muscle
sacrum,bone,soleus,muscle
sacrum,bone,sartorius,muscle
sacrum,bone,iliacus,muscle
ilium,bone,gracilis,muscle
ilium,bone,deltoid,muscle
ilium,bone,infraspinatus,muscle
ilium,bone,subscapularis,muscle
ilium,bone,supraspinatus,muscle
ilium,bone,triceps,muscle
ilium,bone,biceps,muscle
ilium,bone,brachialis,muscle
ilium,bone,supinator,muscle
ilium,bone,coracobrachialis,muscle
ilium,bone,trapezius,muscle
ilium,bone,anconeus,muscle
ilium,bone,sternocleidomastoid,muscle
ilium,bone,subclavius,muscle
ilium,bone,soleus,muscle
ilium,bone,sartorius,muscle
ilium,bone,iliacus,muscle
patella,bone,gracilis,muscle
patella,bone,deltoid,muscle
patella,bone,infraspinatus,muscle
patella,bone,subscapularis,muscle
patella,bone,supraspinatus,muscle
patella,bone,triceps,muscle
patella,bone,biceps,muscle
patella,bone,brachialis,muscle
patella,bone,supinator,muscle
patella,bone,coracobrachialis,muscle
patella,bone,trapezius,muscle
patella,bone,anconeus,muscle
patella,bone,sternocleidomastoid,muscle
patella,bone,subclavius,muscle
patella,bone,soleus,muscle
patella,bone,sartorius,muscle
patella,bone,iliacus,muscle
fibula,bone,gracilis,muscle
fibula,bone,deltoid,muscle
fibula,bone,infraspinatus,muscle
fibula,bone,subscapularis,muscle
fibula,bone,supraspinatus,muscle
fibula,bone,triceps,muscle
fibula,bone,biceps,muscle
fibula,bone,brachialis,muscle
fibula,bone,supinator,muscle
fibula,bone,coracobrachialis,muscle
fibula,bone,trapezius,muscle
fibula,bone,anconeus,muscle
fibula,bone,sternocleidomastoid,muscle
fibula,bone,subclavius,muscle
fibula,bone,soleus,muscle
fibula,bone,sartorius,muscle
fibula,bone,iliacus,muscle
tibia,bone,gracilis,muscle
tibia,bone,deltoid,muscle
tibia,bone,infraspinatus,muscle
tibia,bone,subscapularis,muscle
tibia,bone,supraspinatus,muscle
tibia,bone,triceps,muscle
tibia,bone,biceps,muscle
tibia,bone,brachialis,muscle
tibia,bone,supinator,muscle
tibia,bone,coracobrachialis,muscle
tibia,bone,trapezius,muscle
tibia,bone,anconeus,muscle
tibia,bone,sternocleidomastoid,muscle
tibia,bone,subclavius,muscle
tibia,bone,soleus,muscle
tibia,bone,sartorius,muscle
tibia,bone,iliacus,muscle
cuboid,bone,gracilis,muscle
cuboid,bone,deltoid,muscle
cuboid,bone,infraspinatus,muscle
cuboid,bone,subscapularis,muscle
cuboid,bone,supraspinatus,muscle
cuboid,bone,triceps,muscle
cuboid,bone,biceps,muscle
cuboid,bone,brachialis,muscle
cuboid,bone,supinator,muscle
cuboid,bone,coracobrachialis,muscle
cuboid,bone,trapezius,muscle
cuboid,bone,anconeus,muscle
cuboid,bone,sternocleidomastoid,muscle
cuboid,bone,subclavius,muscle
cuboid,bone,soleus,muscle
cuboid,bone,sartorius,muscle
cuboid,bone,iliacus,muscle
calcaneus,bone,gracilis,muscle
calcaneus,bone,deltoid,muscle
calcaneus,bone,infraspinatus,muscle
calcaneus,bone,subscapularis,muscle
calcaneus,bone,supraspinatus,muscle
calcaneus,bone,triceps,muscle
calcaneus,bone,biceps,muscle
calcaneus,bone,brachialis,muscle
calcaneus,bone,supinator,muscle
calcaneus,bone,coracobrachialis,muscle
calcaneus,bone,trapezius,muscle
calcaneus,bone,anconeus,muscle
calcaneus,bone,sternocleidomastoid,muscle
calcaneus,bone,subclavius,muscle
calcaneus,bone,soleus,muscle
calcaneus,bone,sartorius,muscle
calcaneus,bone,iliacus,muscle
navicular,bone,gracilis,muscle
navicular,bone,deltoid,muscle
navicular,bone,infraspinatus,muscle
navicular,bone,subscapularis,muscle
navicular,bone,supraspinatus,muscle
navicular,bone,triceps,muscle
navicular,bone,biceps,muscle
navicular,bone,brachialis,muscle
navicular,bone,supinator,muscle
navicular,bone,coracobrachialis,muscle
navicular,bone,trapezius,muscle
navicular,bone,anconeus,muscle
navicular,bone,sternocleidomastoid,muscle
navicular,bone,subclavius,muscle
navicular,bone,soleus,muscle
navicular,bone,sartorius,muscle
navicular,bone,iliacus,muscle
talus,bone,gracilis,muscle
talus,bone,deltoid,muscle
talus,bone,infraspinatus,muscle
talus,bone,subscapularis,muscle
